report_text,actual_problem
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
low hemoglobin low hb fatigue weakness pallor,Anemia
hemoglobin 9.0 g/dL low rbc count low iron,Anemia (Iron Deficiency)
high wbc count leukocytosis fever infection,Systemic Infection / Inflammation
high fasting glucose hba1c 7.5 high blood sugar,Diabetes Mellitus Type 2
glucose 180 mg/dL hba1c 8.0 polyuria polydipsia,Uncontrolled Diabetes
glucose 110 mg/dL hba1c 5.9 prediabetes,Pre-Diabetes
high tsh low t4 weight gain fatigue feeling cold,Hypothyroidism
low tsh high t4 weight loss rapid heartbeat,Hyperthyroidism
high total cholesterol high ldl high triglycerides,Hyperlipidemia / High Cardiovascular Risk
ldl 160 mg/dL cholesterol 240 mg/dL,Hypercholesterolemia
high sgpt high sgot ast alt elevated bilirubin jaundice,Liver Dysfunction / Hepatitis
high creatinine high urea low egfr reduced kidney function,Chronic Kidney Disease (CKD) / Renal Impairment
protein in urine hematuria frothy urine,Proteinuria / Possible Kidney Damage
low vitamin d 15 ng/ml bone pain weakness,Vitamin D Deficiency
low vitamin b12 150 pg/ml tingling neuropathy,Vitamin B12 Deficiency
all values within normal range healthy report,No significant abnormalities detected
hemoglobin 14 glucose 90 tsh 2.0 normal limits,No significant abnormalities detected
